key,zh,en,zh-hk,zh-tw,ja,ko,de,es,fr,ru,pt-br,it
alreadyHaveVault,已有密码库？,Already have a vault?,已有密碼庫？,已有密碼庫？,保管庫をお持ちですか？,저장소가 이미 있으신가요?,Bereits einen Tresor vorhanden?,¿Ya tienes una bóveda?,Vous avez déjà un coffre‑fort ?,У вас уже есть хранилище?,Já tem um cofre ?,Hai già un deposito?
unlockLink,解锁,Unlock,解鎖,解鎖,ロック解除,잠금 해제,Freigeben,Desbloquear,Déverrouiller,Разблокировать,Desbloquear,Sblocca
firstTime,首次使用？,First time here?,首次使用？,首次使用？,初めてご利用ですか？,처음 사용하시나요?,Erster Besuch?,¿Es tu primera vez aquí ?,Première utilisation ?,Используете впервые?,Primeira vez aqui?,Prima volta qui?
createVaultLink,创建密码库,Create vault,建立密碼庫,建立密碼庫,保管庫を作成,저장소 만들기,Tresor erstellen,Crear bóveda,Créer un coffre‑fort,Создать хранилище,Criar cofre,Crea deposito
passwordTooShort,主密码至少需要 6 个字符,Master password must be at least 6 characters,主密碼最少需要6個字元,主密碼至少需要6個字元,マスターパスワードは6文字以上にしてください,마스터 비밀번호는 최소 6자 이상이어야 합니다.,Das Hauptpasswort muss mindestens 6 Zeichen lang sein.,La contraseña maestra debe tener al menos 6 caracteres.,Le mot de passe principal doit comporter au moins 6 caractères.,Главный пароль должен содержать минимум 6 символов,A senha mestra precisa ter no mínimo 6 caracteres,La password principale deve avere almeno 6 caratteri
passwordsDontMatch,两次输入的密码不一致,Passwords do not match,兩次輸入的密碼不一致,兩次輸入的密碼不一致,入力したパスワードが一致しません,입력한 비밀번호가 일치하지 않습니다.,Die Passwörter stimmen nicht überein.,Las contraseñas no coinciden.,Les mots de passe ne correspondent pas.,Пароли не совпадают,As senhas não coincidem,Le password non corrispondono
incorrectPassword,主密码错误,Incorrect master password,主密碼錯誤,主密碼錯誤,マスターパスワードが間違っています,마스터 비밀번호가 틀렸습니다,Falsches Hauptpasswort,Contraseña maestra incorrecta,Mot de passe principal incorrect,Неверный главный пароль,Senha mestra incorreta,Password principale errata
vaultLocked,密码库已锁定,Vault is locked,密碼庫已鎖定,密碼庫已鎖定,保管庫はロックされています,저장소가 잠겼습니다,Der Tresor ist gesperrt,La bóveda está bloqueada,Le coffre‑fort est verrouillé,Хранилище заблокировано,O cofre está bloqueado,Il deposito è bloccato
searchPlaceholder,搜索密码库...,Search vault...,搜尋密碼庫...,搜尋密碼庫...,保管庫内を検索...,저장소 검색...,Tresor durchsuchen...,Buscar en la bóveda...,Rechercher dans le coffre‑fort...,Поиск по хранилищу...,Pesquisar no cofre...,Cerca nel deposito...
noMatches,无匹配结果,No matches found,沒有相符結果,沒有相符結果,一致する結果がありません,일치하는 결과 없음,Keine Treffer gefunden,Sin coincidencias,Aucun résultat trouvé,Совпадений не найдено,Sem correspondências,Nessun risultato trovato
noEntries,暂无密码条目,No entries yet,暫無密碼項目,暫無密碼項目,パスワード項目はまだありません,비밀번호 항목이 없습니다,Bisher keine Einträge,Sin entradas todavía,Pas encore d'entrées,Записей пока нет,Sem entradas ainda,Nessuna voce ancora
addFirst,添加第一条密码,Add your first password,新增第一組密碼,新增第一組密碼,最初のパスワードを追加,첫 비밀번호 추가하기,Fügen Sie Ihr erstes Passwort hinzu,Agrega tu primera contraseña,Ajoutez votre premier mot de passe,Добавьте первый пароль,Adicione sua primeira senha,Aggiungi la tua prima password
newEntry,新建条目,New Entry,新增項目,新增項目,新規項目,새 항목,Neuer Eintrag,Nueva entrada,Nouvelle entrée,Новая запись,Nova entrada,Nuova voce
lockVault,锁定密码库,Lock vault,鎖定密碼庫,鎖定密碼庫,保管庫をロック,저장소 잠그기,Tresor sperren,Bloquear bóveda,Verrouiller le coffre‑fort,Заблокировать хранилище,Bloquear cofre,Blocca il deposito
username,用户名,Username,使用者名稱,使用者名稱,ユーザー名,사용자 이름,Benutzername,Nombre de usuario,Nom d'utilisateur,Имя пользователя,Nome de usuário,Nome utente
password,密码,Password,密碼,密碼,パスワード,비밀번호,Passwort,Contraseña,Mot de passe,Пароль,Senha,Password
url,网址,URL,網址,網址,URL,URL,URL,URL,URL,URL,URL,URL
notes,备注,Notes,備註,備註,メモ,메모,Notizen,Notas,Notes,Примечания,Notas,Note
deleteEntry,删除条目,Delete Entry,刪除項目,刪除項目,項目を削除,항목 삭제,Eintrag löschen,Eliminar entrada,Supprimer l'entrée,Удалить запись,Excluir entrada,Elimina voce
selectHint,选择一个条目或新建一条密码,Select an entry or create a new one,選擇一個項目或建立新密碼,選擇一個項目或建立新密碼,項目を選択するか新しく作成してください,항목을 선택하거나 새로 만드세요,Wählen Sie einen Eintrag oder erstellen Sie einen neuen,Selecciona una entrada o crea una nueva,Sélectionnez une entrée ou créez‑en une nouvelle,Выберите запись или создайте новую,Selecione uma entrada ou crie uma nova,Scegli una voce oppure creane una nuova
editEntry,编辑条目,Edit Entry,編輯項目,編輯項目,項目を編集,항목 수정,Eintrag bearbeiten,Editar entrada,Modifier l'entrée,Редактировать запись,Editar entrada,Modifica voce
name,名称,Name,名稱,名稱,名前,이름,Name,Nombre,Nom,Имя,Nome,Nome
namePlaceholder,例如 GitHub,e.g. GitHub,例如 GitHub,例如 GitHub,例：GitHub,예：GitHub,z.B. GitHub,ej: GitHub,ex: GitHub,например GitHub,ex: GitHub,es: GitHub
usernamePlaceholder,your@email.com,your@email.com,your@email.com,your@email.com,your@email.com,your@email.com,deine@email.com,tucorreo@email.com,votre@email.com,ваш@email.com,seu@email.com,tuo@email.com
passwordPlaceholder,输入或生成密码,Enter or generate,輸入或產生密碼,輸入或產生密碼,パスワードを入力または生成,비밀번호를 입력하거나 생성하세요,Passwort eingeben oder generieren,Ingresa o genera tu contraseña,Saisissez ou générez le mot de passe,Введите или создайте пароль,Digite ou gere a senha,Inserisci o genera la password
generatePassword,生成强密码,Generate strong password,產生高強度密碼,產生高強度密碼,強固なパスワードを作成,안전한 비밀번호 생성하기,Starkes Passwort generieren,Generar contraseña segura,Générer un mot de passe sécurisé,Создать надежный пароль,Gerar senha forte,Genera una password complessa
urlPlaceholder,https://example.com,https://example.com,https://example.com,https://example.com,https://example.com,https://example.com,https://beispiel.de,https://ejemplo.com,https://exemple.com,https://пример.ru,https://exemplo.com,https://esempio.com
notesPlaceholder,密保问题答案、恢复码...,"Security question answers, recovery codes...",安全問題答案、復原碼……,安全問題答案、復原碼……,秘密の質問の回答、復旧コード…,"보안 질문 답변, 복구 코드…","Antworten auf Sicherheitsfragen, Wiederherstellungscodes…","Respuestas a preguntas de seguridad, códigos de recuperación…","Réponses aux questions de sécurité, codes de récupération…","Ответы на контрольные вопросы, коды восстановления…","Respostas de perguntas de segurança, códigos de recuperação…","Risposte alle domande di sicurezza, codici di ripristino…"
lengthLabel,长度：{n} 个字符,Length: {n} characters,長度：{n} 個字元,長度：{n} 個字元,文字数：{n}文字,길이：{n}자,Länge: {n} Zeichen,Longitud: {n} caracteres,Longueur : {n} caractères,Длина: {n} символов,Comprimento: {n} caracteres,Lunghezza: {n} caratteri
cancel,取消,Cancel,取消,取消,キャンセル,취소,Abbrechen,Cancelar,Annuler,Отмена,Cancelar,Annulla
save,保存更改,Save Changes,儲存變更,儲存變更,変更を保存,변경사항 저장하기,Änderungen speichern,Guardar cambios,Enregistrer les modifications,Сохранить изменения,Salvar alterações,Salva modifiche
create,创建条目,Create Entry,建立項目,建立項目,項目作成,항목 만들기,Eintrag erstellen,Crear entrada,Créer l'entrée,Создать запись,Criar entrada,Crea voce
nameRequired,请输入名称,Name is required,請輸入名稱,請輸入名稱,名前を入力してください,이름을 입력하세요,Name ist erforderlich,El nombre es obligatorio,Le nom est requis,Требуется указать имя,O nome é obrigatório,Il nome è obbligatorio
usernameRequired,请输入用户名,Username is required,請輸入使用者名稱,請輸入使用者名稱,ユーザー名を入力してください,사용자 이름을 입력하세요,Benutzername ist erforderlich,El nombre de usuario es obligatorio,Le nom d'utilisateur est requis,Требуется имя пользователя,O nome de usuário é obrigatório,Il nome utente è obbligatorio
passwordRequired,请输入密码,Password is required,請輸入密碼,請輸入密碼,パスワードを入力してください,비밀번호를 입력하세요,Passwort ist erforderlich,La contraseña es obligatoria,Le mot de passe est requis,Требуется пароль,A senha é obrigatória,La password è obbligatoria
hidden,••••••••,••••••••,••••••••,••••••••,••••••••,••••••••,••••••••,••••••••,••••••••,••••••••,••••••••,••••••••
optional,可选,optional,選填,選填,オプション,선택 사항,optional,Opcional,Facultatif,необязательно,Opcional,Opzionale
language,语言,Language,語言,語言,言語,언어,Sprache,Idioma,Langue,Язык,Idioma,Lingua
selectLanguage,选择显示语言,Select display language,選擇顯示語言,選擇顯示語言,表示言語を選択,표시 언어 선택하기,Anzeigesprache auswählen,Seleccionar idioma de visualización,Sélectionnez la langue d'affichage,Выберите язык интерфейса,Selecione o idioma de exibição,Scegli la lingua di visualizzazione
searchLanguage,搜索语言...,Search languages...,搜尋語言...,搜尋語言...,言語を検索...,언어 검색...,Sprache suchen...,Buscar idiomas...,Rechercher des langues...,Поиск языка...,Pesquisar idiomas...,Cerca lingue...
appearance,外观,Appearance,外觀,外觀,外観,외관,Aussehen,Apariencia,Apparence,Внешний вид,Aparência,Aspetto
comingSoon,即将推出...,Coming soon...,即將推出...,即將推出...,近日公開予定,곧 출시 예정,Demnächst verfügbar,Próximamente,Bientôt disponible,Скоро появится,Em breve,Prossimamente
hide,隐藏,Hide,隱藏,隱藏,隠す,숨기기,Ausblenden,Ocultar,Masquer,Cкрыть,Ocultar,Nascondi
show,显示,Show,顯示,顯示,表示する,보이기,Anzeigen,Mostrar,Afficher,Показать,Mostrar,Mostra
copied,已复制,Copied,已複製,已複製,コピーしました,복사됨,Kopiert,Copiado,Copié,Cкопировано,Copiado,Copiato
copy,复制,Copy,複製,複製,コピー,복사,Kopieren,Copiar,Copier,Копировать,Copiar,Copia
confirmDelete,确认删除,Confirm Delete,確認刪除,確認刪除,削除を確認,삭제 확인,Löschen bestätigen,Confirmar eliminación,Confirmer la suppression,Подтвердить удаление,Confirmar exclusão,Conferma eliminazione
confirmDeleteMessage,确定要删除条目「{name}」吗？此操作不可撤销。,"Are you sure you want to delete ""{name}""? This action cannot be undone.",確定要刪除「{name}」嗎？此動作無法復原。,確定要刪除「{name}」嗎？此操作無法復原。,「{name}」を削除してもよろしいですか？取り消しはできません。,「{name}」 항목을 삭제하시겠습니까? 실행 후 취소할 수 없습니다.,"Möchten Sie den Eintrag ""{name}"" wirklich löschen? Dieser Vorgang kann nicht rückgängig gemacht werden.","¿Está seguro de que desea eliminar la entrada ""{name}""? Esta acción no se puede deshacer.","Êtes-vous sûr de vouloir supprimer l'entrée ""{name}"" ? Cette action est irréversible.","Вы действительно хотите удалить запись ""{name}""? Данное действие отменить нельзя.","Tem certeza de que deseja excluir a entrada ""{name}""? Essa ação não pode ser revertida.","Sei sicuro di voler eliminare la voce ""{name}""? L'operazione non è annullabile."
vaultName,密码库名称,Vault Name,密碼庫名稱,密碼庫名稱,保管庫名,저장소 이름,Tresorname,Nombre de la bóveda,Nom du coffre‑fort,Название хранилища,Nome do cofre,Nome del deposito
enterVaultName,输入密码库名称,Enter vault name,輸入密碼庫名稱,輸入密碼庫名稱,保管庫名を入力,저장소 이름 입력하기,Tresornamen eingeben,Ingresa el nombre de la bóveda,Saisissez le nom du coffre‑fort,Введите название хранилища,Digite o nome do cofre,Inserisci il nome del deposito
vaultNameDuplicate,同名密码库已存在,A vault with this name already exists,同名密碼庫已存在,同名密碼庫已存在,同名のパスワード保管庫が既に存在します,동일한 이름의 비밀번호 금고가 이미 존재합니다,Ein Tresor mit diesem Namen existiert bereits,Ya existe un cofre de contraseñas con este nombre,Un coffre-fort de mots de passe avec ce nom existe déjà,Хранилище паролей с таким именем уже существует,Um cofre de senhas com este nome já existe,Un deposito di password con questo nome esiste già
noVaults,还没有密码库,No vaults yet,還沒有密碼庫,還沒有密碼庫,保管庫がまだありません,저장소가 없습니다,Bisher keine Tresore,Sin bóvedas todavía,Pas encore de coffres‑forts,Хранилищ пока нет,Sem cofres ainda,Nessun deposito ancora
createFirstVault,创建第一个密码库,Create your first vault,建立第一個密碼庫,建立第一個密碼庫,最初の保管庫を作成,첫 저장소 만들기,Erstellen Sie Ihren ersten Tresor,Crea tu primera bóveda,Créez votre premier coffre‑fort,Создайте первое хранилище,Crie seu primeiro cofre,Crea il tuo primo deposito
backToVaults,返回密码库列表,Back to vaults,返回密碼庫清單,返回密碼庫清單,保管庫一覧へ戻る,저장소 목록으로 돌아가기,Zurück zur Tresor‑Liste,Volver a las bóvedas,Retour aux coffres‑forts,Вернуться к списку хранилищ,Voltar aos cofres,Torna all'elenco dei depositi
recentVault,最近使用的密码库,Recent vault,最近使用的密碼庫,最近使用的密碼庫,最近使用したボールト,최근 사용한 볼트,kürzlich verwendeter Tresor,caja fuerte reciente,coffre‑fort récent,последнее хранилище,cofre recente,cassaforte recente
allVaults,全部密码库,All vaults,全部密碼庫,全部密碼庫,すべてのボールト,모든 볼트,Alle Tresore,todos los depósitos,tous les coffres‑forts,все хранилища,todos os cofres,tutti i depositi
viewAllVaults,查看全部密码库（共 {n} 个）,View all vaults ({n}),檢視全部密碼庫（共 {n} 個）,檢視全部密碼庫（共 {n} 個）,すべてのボールトを表示（{n}個）,모든 볼트 보기({n}개),Alle Tresore anzeigen ({n}),ver todos los depósitos ({n}),voir tous les coffres‑forts ({n}),просмотреть все хранилища ({n}),ver todos os cofres ({n}),visualizza tutti i depositi ({n})
deleteVault,删除密码库,Delete Vault,刪除密碼庫,刪除密碼庫,保管庫を削除,저장소 삭제,Tresor löschen,Eliminar bóveda,Supprimer le coffre‑fort,Удалить хранилище,Excluir cofre,Elimina deposito
confirmDeleteVault,确认删除密码库,Delete Vault,確認刪除密碼庫,確認刪除密碼庫,保管庫削除確認,저장소 삭제 확인,Tresor‑Löschung bestätigen,Confirmar eliminación de bóveda,Confirmer la suppression du coffre‑fort,Подтвердить удаление хранилища,Confirmar exclusão do cofre,Conferma eliminazione deposito
confirmDeleteVaultMessage,确定要删除密码库「{name}」吗？所有数据将永久丢失。,"Are you sure you want to delete ""{name}""? All data will be permanently lost.",確定要刪除密碼庫「{name}」嗎？所有資料會永久遺失。,確定要刪除密碼庫「{name}」嗎？所有資料將永久遺失。,保管庫「{name}」を削除してもよろしいですか？すべてのデータが完全に失われます。,「{name}」 저장소를 삭제하시겠습니까? 모든 데이터가 영구적으로 손실됩니다.,Möchten Sie den Tresor „{name}“ wirklich löschen? Alle Daten gehen dauerhaft verloren.,¿Está seguro de borrar la bóveda «{name}»? Todos sus datos se perderán permanentemente.,Êtes‑vous sûr de vouloir supprimer le coffre‑fort «{name}» ? Toutes les données seront définitivement perdues.,Вы действительно хотите удалить хранилище «{name}»? Все данные будут утрачены навсегда.,Tem certeza que quer excluir o cofre {name}? Todos os dados serão perdidos permanentemente.,Sei sicuro di eliminare il deposito «{name}»? Tutti i dati andranno persi in modo permanente.
deleteVaultWarning,此操作不可逆，密码库中的所有数据将被永久销毁。请稍候再确认。,This action is irreversible. All data in this vault will be permanently destroyed. Please wait before confirming., 此操作不可逆，密碼庫內全部資料會永久刪除，請稍後再確認。, 此操作無法復原，密碼庫裡的所有資料將永久清除，請稍候再確認。, この操作は取り消せません。ボールト内のすべてのデータが完全に削除されます。しばらく待ってから確認してください。,이 작업은 되돌릴 수 없으며 볼트 내 모든 데이터가 영구 삭제됩니다. 잠시 후 확인하십시오.,Dieser Vorgang kann nicht rückgängig gemacht werden. Sämtliche Daten im Tresor werden dauerhaft gelöscht. Bitte warten Sie vor der Bestätigung.,Esta acción es irreversible. Todos los datos del depósito se destruirán permanentemente. Espere antes de confirmar.,Cette action est irréversible. Toutes les données du coffre‑fort seront définitivement supprimées. Attendez avant de confirmer.,Действие необратимо, все данные хранилища будут удалены навсегда. Подождите перед подтверждением.,Esta ação é irreversível. Todos os dados do cofre serão excluídos permanentemente. Aguarde antes de confirmar.
deleteVaultCountdown,确认删除（{n} 秒）,Confirm ({n} s), 確認刪除（{n} 秒）, 確認刪除（{n} 秒）, 削除確認（{n} 秒）,삭제 확인({n}초),Löschen bestätigen ({n} s),Confirmar eliminación ({n} s),Confirmer la suppression ({n} s),Подтвердить удаление ({n}с),Confirmar exclusão ({n} s),Conferma eliminazione ({n} s)
back,返回,Back,返回,返回,戻る,돌아가기,Zurück,Atrás,Retour,Назад,Voltar,Indietro
export,导出,Export,匯出,匯出,エクスポート,내보내기,Exportieren,Exportar,Exporter,Экспортировать,Exportar,Esporta
import,导入,Import,匯入,匯入,インポート,가져오기,Importieren,Importar,Importer,Импортировать,Importar,Importa
importTitle,导入密码条目,Import Entries,匯入密碼項目,匯入密碼項目,パスワード項目をインポート,비밀번호 항목 가져오기,Einträge importieren,Importar entradas,Importer des entrées,Импортировать записи,Importar entradas,Importa voci
selectFile,选择文件,Select File,選擇檔案,選擇檔案,ファイルを選択,파일 선택하기,Datei auswählen,Seleccionar archivo,Sélectionnez le fichier,Выберите файл,Selecione o arquivo,Scegli file
jsonFile,JSON 文件,JSON file,JSON檔案,JSON檔案,JSONファイル,JSON 파일,JSON‑Datei,Archivo JSON,Fichier JSON,JSON‑файл,Arquivo JSON,File JSON
backupFile,加密备份文件,Encrypted backup file,加密備份檔案,加密備份檔案,暗号化バックアップファイル,암호화된 백업 파일,Verschlüsselte Sicherungsdatei,Archivo de copia de seguridad cifrado,Fichier de sauvegarde chiffré,Зашифрованный файл резервной копия,Arquivo de backup criptografado,File di backup crittografato
confirmImport,确认导入,Confirm Import,確認匯入,確認匯入,インポートを確認,가져오기 확인,Import bestätigen,Confirmar importación,Confirmer l'importation,Подтвердить импорт,Confirmar importação,Conferma importazione
importSuccess,成功导入 {n} 个条目,Successfully imported {n} entries,成功匯入 {n} 個項目,成功匯入 {n} 個項目,{n}個の項目をインポートしました,{n}개의 항목을 성공적으로 가져왔습니다,{n} Einträge erfolgreich importiert,Se importaron correctamente {n} entradas,{n} entrées importées avec succès,Успешно импортировано {n} записей,Importou {n} entradas com sucesso,Importate {n} voci con successo
exportSuccess,导出成功,Export successful,匯出成功,匯出成功,エクスポート完了,내보내기 성공,Export erfolgreich,Exportación exitosa,Exportation réussie,Экспорт выполнен,Exportação bem‑sucedida,Esportazione completata
importError,导入失败,Import failed,匯入失敗,匯入失敗,インポート失敗,가져오기 실패,Import fehlgeschlagen,Fallo de importación,Échec de l'importation,Ошибка импорта,Falha na importação,Importazione fallita
invalidFileFormat,无效的文件格式,Invalid file format,無效檔案格式,無效檔案格式,ファイル形式が不正です,잘못된 파일 형식,Ungültiges Dateiformat,Formato de archivo no válido,Format de fichier invalide,Неверный формат файла,Formato de arquivo inválido,Formato file non valido
wrongBackupPassword,备份密码错误,Incorrect backup password,備份密碼錯誤,備份密碼錯誤,バックアップパスワードが間違っています,백업 비밀번호가 틀렸습니다,Falsches Sicherungspasswort,Contraseña de copia de seguridad incorrecta,Mot de passe de sauvegarde incorrect,Неверный пароль резервной копии,Senha de backup incorreta,Password di backup errata
backupPassword,备份密码,Backup Password,備份密碼,備份密碼,バックアップパスワード,백업 비밀번호,Sicherungspasswort,Contraseña de copia de seguridad,Mot de passe de sauvegarde,Пароль резервной копии,Senha de backup,Password di backup
enterBackupPassword,输入备份加密密码,Enter backup encryption password,輸入備份加密密碼,輸入備份加密密碼,バックアップ暗号化パスワードを入力,백업 암호화 비밀번호를 입력하세요,Geben Sie das Verschlüsselungspasswort der Sicherung ein,Ingresa la contraseña de cifrado de copia de seguridad,Saisissez le mot de passe de chiffrement de la sauvegarde,Введите пароль шифрования резервной копии,Digite a senha de criptografia do backup,Inserisci la password di crittografia del backup
encryptedExportTitle,导出加密备份,Export Encrypted Backup,匯出加密備份,匯出加密備份,暗号化バックアップをエクスポート,암호화된 백업 내보내기,Verschlüsselte Sicherung exportieren,Exportar copia de seguridad cifrada,Exporter une sauvegarde chiffrée,Экспортировать зашифрованную резервную копию,Exportar backup criptografado,Esporta backup crittografato
appSettings,设置,Settings,設定,設定,設定,설정,Einstellungen,Configuración,Paramètres,Настройки,Configurações,Impostazioni
vaultSettings,密码库设置,Vault Settings,密碼庫設定,密碼庫設定,保管庫設定,저장소 설정,Tresoreinstellungen,Configuración de la bóveda,Paramètres du coffre‑fort,Параметры хранилища,Configurações do cofre,Impostazioni del deposito
vaultSettingsDesc,修改密码库的名称。,Change your vault name.,修改密碼庫的名稱。,修改密碼庫的名稱。,保管庫の名前を変更します。,저장소의 이름을 수정하세요.,Ändern Sie Ihren Tresornamen.,Cambia el nombre de tu bóveda.,Modifiez le nom de votre coffre‑fort.,Измените название хранилища.,Altere o nome do seu cofre.,Modifica il nome del tuo deposito.
saveVaultSettings,保存设置,Save vault settings,儲存設定,儲存設定,ボールト設定を保存,볼트 설정 저장,Tresoreinstellungen speichern,guardar configuración del depôt,enregistrer les paramètres du coffre‑fort,сохранить параметры хранилища,salvar configurações do cofre,salva le impostazioni del deposito
biometricUnlock,指纹解锁,Biometric unlock,生物辨識解鎖,生物辨識解鎖,生体認証ロック解除,생체 인식 잠금 해제,Biometrische Entsperrung,desbloqueo biométrico,déverrouillage biométrique,биометрическая разблокировка,desbloqueio biométrico,sblocco biometrico
enableBiometric,启用指纹解锁,Enable biometric unlock,開啟生物辨識解鎖,啟用生物辨識解鎖,生体認証を有効化,생체 인식 잠금 해제 활성화,Biometrie aktivieren,activar desbloqueo biométrico,activer le déverrouillage biométrique,включить биометрию,habilitar desbloqueio biométrico,abilita sblocco biometrico
disableBiometric,禁用指纹解锁,Disable biometric unlock,關閉生物辨識解鎖,停用生物辨識解鎖,生体認証を無効化,생체 인식 잠금 해제 비활성화,Biometrie deaktivieren,desactivar desbloqueo biométrico,désactiver le déverrouillage biométrique,отключить биометрию,desabilitar desbloqueio biométrico,disabilita sblocco biometrico
biometricDesc,使用指纹或面部识别快速解锁密码库。,Use fingerprint or face ID to quickly unlock your vault.,透過指紋或臉部辨識快速解鎖密碼庫。,透過指紋或臉部辨識快速解鎖密碼庫。,指紋または顔認証でボールトをすばやく解除します。,지문 또는 얼굴 인식으로 볼트를 빠르게 잠금 해제하세요.,Nutzen Sie Finger‑ oder Gesichtserkennung zum schnellen Entsperren des Tresors.,Use huella o reconocimiento facial para desbloquear rápidamente el depôt.,Utilisez votre empreinte ou la reconnaissance faciale pour déverrouiller rapidement le coffre‑fort.,Используйте отпечаток пальца или распознавание лица для быстрой разблокировки хранилища.,Use a impressão digital ou reconhecimento facial para desbloquear rapidamente o cofre,Usa l’impronta digitale o il riconoscimento facciale per sbloccare velocemente il deposito
biometricFailed,生物识别验证失败,Biometric verification failed,生物辨識驗證失敗,生物辨識驗證失敗,生体認証に失敗しました,생체 인식 인증 실패,Biometrische Prüfung fehlgeschlagen,fallo en la verificación biométrica,échec de la vérification biométrique,сбой биометрической проверки,falha na verificação biométrica,verifica biometrica fallita
enterPasswordToEnable,输入主密码以启用生物识别,Enter your master password to enable biometrics,輸入主密碼以啟用生物辨識,輸入主要密碼以啟用生物辨識,バイオメトリを有効にするにはマスターパスワードを入力してください,생체 인식 활성화하려면 마스터 비밀번호를 입력하세요,Geben Sie Ihr Hauptpasswort ein, um die Biometrie zu aktivieren,Ingrese su contraseña maestra para habilitar la biometría,saisissez votre mot de passe principal pour activer la biométrie,введите главный пароль для включения биометрии,digite sua senha mestra para habilitar a biometria
biometricNotAvailable,此设备不支持生物识别,Biometrics unavailable on this device,此裝置不支援生物辨識,此裝置不支援生物辨識,このデバイスは生体認証に対応していません,이 기기는 생체 인식을 지원하지 않습니다,Biometrie auf diesem Gerät nicht verfügbar,el dispositivo no admite la biometría,la biométrie n’est pas prise en charge par cet appareil,биометрия не поддерживается этим устройством,este dispositivo não suporta biometria,biometria non supportata da questo dispositivo
autoLock,自动锁定,Auto‑Lock,自動鎖定,自動鎖定,自動ロック,자동 잠금,Automatische Sperre,Bloqueo automático,Verrouillage automatique,автоблокировка,Bloqueio automático,Blocco automatico
autoLockDesc,一段时间不活动后自动锁定密码库。,Automatically lock the vault after a period of inactivity.,閒置一段時間後自動鎖定密碼庫。,閒置一段時間後自動鎖定密碼庫。,しばらく操作しないとボールトが自動でロックされます。,일정 시간 사용하지 않으면 볼트가 자동 잠깁니다.,Der Tresor wird nach Inaktivität automatisch gesperrt.,Bloquear automáticamente el depôt tras un tiempo de inactividad.,Verrouiller automatiquement le coffre‑fort après une période d’inactivité.,Автоматически блокировать хранилище при отсутствии активности,Bloqueie o cofre automaticamente após um período de inatività,Blocca automaticamente il deposito dopo un periodo di inattività
